Accession_Number	Identified Proteins (551)	Molecular Weight	ANOVA Test (P-Value	Entry		18129_DB_AORTA_1	18129_DB_AORTA_2	18129_DB_AORTA_3	18129_DB_AORTA_4	18129_DB_AORTA	DB_AORTA_MEAN	18129_HET_AORTA_1	18129_HET_AORTA_2	18129_HET_AORTA_3	18129_HET_AORTA_4	HET_AORTA_MEAN	18129_KOHET_AORTA_1	18129_KOHET_AORTA_2	18129_KOHET_AORTA_3	18129_KOHET_AORTA_4	KOHET_AORTA_MEAN	18129_KOKO_AORTA_1	18129_KOKO_AORTA_2	18129_KOKO_AORTA_3	KOKO_AORTA_MEAN		All_Pathways		ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle
TLN1_MOUSE	Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=2	270 kDa	0.42	P26039		52.643	50.2	57.013	51.246	42.616	50.7436	33.416	50.2	57.013	26.872	41.8753	57.8	44.748	52.527	44.082	49.7893	45.636	51.912	55.282	50.9433		Integrin											Integrin				
CMC1_MOUSE	Calcium-binding mitochondrial carrier protein Aralar1 OS=Mus musculus GN=Slc25a12 PE=1 SV=1	75 kDa	0.43	Q8BH59		0	0	0	0	0	0	0	0	0	0	0	0.9476	0	0	0	0.2369	0	0	0	0																	
CO1A2_MOUSE	Collagen alpha-2(I) chain OS=Mus musculus GN=Col1a2 PE=2 SV=2	130 kDa	0.43	Q01149		0	0	0	0	0	0	2.9485	0	0	0	0.7371	0	0	0	0	0	0	0	0	0		Integrin											Integrin				
CPT2_MOUSE	Carnitine O-palmitoyltransferase 2, mitochondrial OS=Mus musculus GN=Cpt2 PE=1 SV=2	74 kDa	0.43	P52825		0	0	0	0	0	0	0	0	0	1.1684	0.2921	0	0	0	0	0	0	0	0	0																	
CSPG2_MOUSE	Versican core protein OS=Mus musculus GN=Vcan PE=1 SV=2	367 kDa	0.43	Q62059		0	0	0	0	0	0	32.433	0	0	0	8.1083	0	0	0	0	0	0.8149	0	0	0.2716																	
GNAI2_MOUSE	Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Mus musculus GN=Gnai2 PE=1 SV=5	40 kDa	0.43	P08752		5.7428	2.5966	5.4821	3.4941	5.6074	4.5846	0	2.5966	5.4821	4.6734	3.188	3.7902	3.729	1.0101	2.449	2.7446	2.4448	4.7919	2.6749	3.3039		Chemokine_Cytokine_Signaling				Chemokine_Cytokine_Signaling											
H10_MOUSE	Histone H1.0 OS=Mus musculus GN=H1f0 PE=2 SV=4	21 kDa	0.43	P10922		0	0	0	0	0	0	0	0	0	4.6734	1.1684	0	0	0	0	0	0	0	0	0																	
HPLN1_MOUSE	Hyaluronan and proteoglycan link protein 1 OS=Mus musculus GN=Hapln1 PE=2 SV=1	40 kDa	0.43	Q9QUP5		0	0	0	0	0	0	2.9485	0	0	0	0.7371	0	0	0	0	0	0	0	0	0																	
IGHG1_MOUSE	Ig gamma-1 chain C region secreted form OS=Mus musculus GN=Ighg1 PE=1 SV=1	36 kDa	0.43	P01868		0	0	0	0	0	0	0	0	0	61.923	15.4808	0	0.9323	0	0	0.2331	0	0	0	0																	
IGKC_MOUSE	Ig kappa chain C region OS=Mus musculus PE=1 SV=1	12 kDa	0.43	P01837		0	0	0	0	0	0	0	0	0	32.714	8.1785	0	0	0	0	0	0	0	0	0																	
KV2A7_MOUSE	Ig kappa chain V-II region 26-10 OS=Mus musculus PE=1 SV=1	12 kDa	0.43	P01631		0	0	0	0	0	0	0	0	0	147.21	36.8025	0	0	0	0	0	0	0	0	0																	
MYOM1_MOUSE	Myomesin-1 OS=Mus musculus GN=Myom1 PE=1 SV=2	185 kDa	0.43	Q62234		0	0	0	0	0	0	0	0	0	0	0	0	0	1.0101	0	0.2525	0	0	0	0																	
NDUA8_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Mus musculus GN=Ndufa8 PE=1 SV=3	20 kDa	0.43	Q9DCJ5		0	0	0	0	0	0	0	0	0	0	0	0	0.9323	0	0	0.2331	0	0	0	0																	
ODPB_MOUSE	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Mus musculus GN=Pdhb PE=1 SV=1	39 kDa	0.43	Q9D051		0	0	2.1928	0	7.8504	2.0086	0	0	2.1928	1.1684	0.8403	0	0.9323	0	0	0.2331	4.8895	3.9932	0	2.9609																	
PTBP1_MOUSE	Polypyrimidine tract-binding protein 1 OS=Mus musculus GN=Ptbp1 PE=1 SV=2	56 kDa	0.43	P17225		0.9571	1.731	3.2892	2.3294	0	1.6613	0	1.731	3.2892	3.5051	2.1313	0	0.9323	1.0101	2.449	1.0978	0	0	1.7833	0.5944																	
SSRD_MOUSE	Translocon-associated protein subunit delta OS=Mus musculus GN=Ssr4 PE=2 SV=1	19 kDa	0.43	Q62186		0	0	0	0	1.1215	0.2243	0	0	0	3.5051	0.8763	0.9476	0	0	0	0.2369	2.4448	0	1.7833	1.4094																	
FAS_MOUSE	Fatty acid synthase OS=Mus musculus GN=Fasn PE=1 SV=2	272 kDa	0.44	P19096		0	0	0	0	0	0	0.9828	0	0	14.02	3.7507	0	4.6613	2.0203	0	1.6704	0	0	0	0																	
HDHD2_MOUSE	Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Mus musculus GN=Hdhd2 PE=1 SV=2	29 kDa	0.44	Q3UGR5		0	0	0	0	1.1215	0.2243	0	0	0	0	0	0	0	0	0	0	1.6298	0	0	0.5433																	
HS71A_MOUSE	Heat shock 70 kDa protein 1A OS=Mus musculus GN=Hspa1a PE=1 SV=2	70 kDa	0.44	Q61696		19.143	19.907	18.639	16.306	19.065	18.612	13.76	19.907	18.639	25.704	19.5025	20.846	22.374	17.172	22.041	20.6083	17.928	18.369	14.266	16.8543		Parkinson													Parkinson		
RET1_MOUSE	Retinol-binding protein 1 OS=Mus musculus GN=Rbp1 PE=2 SV=2	16 kDa	0.44	Q00915		2.8714	6.0587	3.2892	8.1528	11.215	6.3174	1.9657	6.0587	3.2892	5.8418	4.2889	5.6853	6.5258	12.122	3.6735	7.0017	8.9641	7.1878	7.1332	7.7617																	
ZYX_MOUSE	Zyxin OS=Mus musculus GN=Zyx PE=1 SV=2	61 kDa	0.44	Q62523		17.229	10.386	10.964	5.8235	8.9719	10.6749	12.777	10.386	10.964	3.5051	9.408	5.6853	8.3903	5.0507	8.5714	6.9244	8.1492	10.382	7.1332	8.5548																	
CHCH3_MOUSE	Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial OS=Mus musculus GN=Chchd3 PE=1 SV=1	26 kDa	0.45	Q9CRB9		1.9143	2.5966	0	0	0	0.9022	0	2.5966	0	1.1684	0.9413	0	0	0	0	0	0.8149	0	0	0.2716																	
DHE3_MOUSE	Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus GN=Glud1 PE=1 SV=1	61 kDa	0.46	P26443		5.7428	8.6552	6.5785	8.1528	6.7289	7.1716	5.897	8.6552	6.5785	12.852	8.4957	7.5804	3.729	9.0913	4.898	6.3247	4.8895	6.3892	7.1332	6.1373																	
HCDH_MOUSE	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Mus musculus GN=Hadh PE=1 SV=2	34 kDa	0.46	Q61425		0.9571	0.8655	1.0964	0	4.4859	1.481	0	0.8655	1.0964	0	0.4905	0.9476	0.9323	1.0101	0	0.7225	4.8895	1.5973	0	2.1623																	
NDUS3_MOUSE	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Mus musculus GN=Ndufs3 PE=1 SV=2	30 kDa	0.46	Q9DCT2		0	0.8655	0	0	0	0.1731	0	0.8655	0	0	0.2164	0	2.7968	0	0	0.6992	1.6298	1.5973	0	1.0757																	
QCR1_MOUSE	Cytochrome b-c1 complex subunit 1, mitochondrial OS=Mus musculus GN=Uqcrc1 PE=1 SV=2	53 kDa	0.46	Q9CZ13		0	1.731	1.0964	0	3.3644	1.2384	0	1.731	1.0964	0	0.7069	1.8951	0	1.0101	0	0.7263	0	0	0	0																	
CO4A2_MOUSE	Collagen alpha-2(IV) chain OS=Mus musculus GN=Col4a2 PE=2 SV=4	167 kDa	0.47	P08122		3.8286	2.5966	4.3856	3.4941	2.243	3.3096	0	2.5966	4.3856	2.3367	2.3297	1.8951	3.729	3.0304	1.2245	2.4698	4.8895	3.1946	2.6749	3.5863		Integrin											Integrin				
RAP1B_MOUSE	Ras-related protein Rap-1b OS=Mus musculus GN=Rap1b PE=2 SV=2	21 kDa	0.47	Q99JI6		1.9143	3.4621	3.2892	2.3294	4.4859	3.0962	2.9485	3.4621	3.2892	7.0101	4.1775	1.8951	3.729	3.0304	2.449	2.7759	4.0746	1.5973	3.5666	3.0795		Integrin											Integrin				
ACTN4_MOUSE	Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1	105 kDa	0.48	P57780		27.757	31.159	27.41	32.611	20.187	27.8248	16.708	31.159	27.41	1.1684	19.1114	18.951	12.119	18.183	34.286	20.8848	24.448	36.738	19.616	26.934		Integrin											Integrin				
COX6C_MOUSE	Cytochrome c oxidase subunit 6C OS=Mus musculus GN=Cox6c PE=1 SV=3	8 kDa	0.48	Q9CPQ1		0	0	0	0	0	0	0	0	0	1.1684	0.2921	0	0	0	0	0	0	0	0.8917	0.2972																	
G6PI_MOUSE	Glucose-6-phosphate isomerase OS=Mus musculus GN=Gpi PE=1 SV=4	63 kDa	0.48	P06745		15.314	13.848	13.157	11.647	13.458	13.4848	9.8283	13.848	13.157	12.852	12.4213	12.318	13.052	12.122	15.918	13.3525	10.594	7.9865	15.158	11.2462		Glycolysis									Glycolysis						
KAD2_MOUSE	Adenylate kinase 2, mitochondrial OS=Mus musculus GN=Ak2 PE=1 SV=5	26 kDa	0.48	Q9WTP6		0.9571	0	1.0964	0	3.3644	1.0836	0	0	1.0964	0	0.2741	0	0	0	1.2245	0.3061	0	0.7987	0	0.2662		De_Novo_Purine_Biosynthesis						De_Novo_Purine_Biosynthesis									
SERPH_MOUSE	Serpin H1 OS=Mus musculus GN=Serpinh1 PE=1 SV=3	47 kDa	0.48	P19324		1.9143	3.4621	3.2892	1.1647	4.4859	2.8632	16.708	3.4621	3.2892	1.1684	6.1569	3.7902	2.7968	4.0406	0	2.6569	0.8149	2.3959	3.5666	2.2591																	
CAV1_MOUSE	Caveolin-1 OS=Mus musculus GN=Cav1 PE=1 SV=1	21 kDa	0.49	P49817		2.8714	2.5966	0	3.4941	5.6074	2.9139	0.9828	2.5966	0	2.3367	1.479	0	1.8645	2.0203	2.449	1.5835	3.2597	0	1.7833	1.681		Integrin											Integrin				
H2A2A_MOUSE	Histone H2A type 2-A OS=Mus musculus GN=Hist2h2aa1 PE=1 SV=3	14 kDa	0.49	Q6GSS7		27.757	34.621	32.892	32.611	50.467	35.6696	25.554	34.621	32.892	89.963	45.7575	50.22	48.477	55.558	57.551	52.9515	44.821	35.14	56.174	45.3783																	
ETFD_MOUSE	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Mus musculus GN=Etfdh PE=1 SV=1	68 kDa	0.5	Q921G7		0.9571	1.731	0	0	0	0.5376	0	1.731	0	0	0.4328	0	0	0	0	0	0	0	0	0																	
IF4A1_MOUSE	Eukaryotic initiation factor 4A-I OS=Mus musculus GN=Eif4a1 PE=1 SV=1	46 kDa	0.5	P60843		0.9571	1.731	1.0964	2.3294	1.1215	1.4471	0	1.731	1.0964	0	0.7069	0.9476	1.8645	2.0203	0	1.2081	0.8149	0.7987	4.4582	2.0239																	
PGAM1_MOUSE	Cluster of Phosphoglycerate mutase 1 OS=Mus musculus GN=Pgam1 PE=1 SV=3 (PGAM1_MOUSE)	29 kDa	0.5	Q9DBJ1		0.9571	0.8655	1.0964	0	1.1215	0.8081	0	0.8655	1.0964	0	0.4905	0	0.9323	1.0101	1.2245	0.7917	0.8149	1.5973	0.8917	1.1013		Glycolysis									Glycolysis						
SEPT9_MOUSE	Septin-9 OS=Mus musculus GN=Sept9 PE=1 SV=1	66 kDa	0.5	Q80UG5		0	0	0	0	0	0	0	0	0	0	0	0	1.8645	0	0	0.4661	0.8149	0	0	0.2716																	
TCPZ_MOUSE	T-complex protein 1 subunit zeta OS=Mus musculus GN=Cct6a PE=1 SV=3	58 kDa	0.5	P80317		0	2.5966	0	1.1647	0	0.7523	0.9828	2.5966	0	0	0.8949	0	1.8645	0	0	0.4661	3.2597	2.3959	0	1.8852																	
1433T_MOUSE	14-3-3 protein theta OS=Mus musculus GN=Ywhaq PE=1 SV=1	28 kDa	0.51	P68254		9.5714	12.117	9.8677	8.1528	14.579	10.8576	5.897	12.117	9.8677	19.862	11.9359	5.6853	8.3903	5.0507	12.245	7.8428	6.5194	14.376	14.266	11.7205		EGF, FGF, Parkinson							EGF	FGF					Parkinson		
CAH3_MOUSE	Carbonic anhydrase 3 OS=Mus musculus GN=Ca3 PE=1 SV=3	29 kDa	0.51	P16015		0.9571	0	0	0	0	0.1914	0	0	0	3.5051	0.8763	0	0	0	0	0	0	0	0	0																	
K2C8_MOUSE	Keratin, type II cytoskeletal 8 OS=Mus musculus GN=Krt8 PE=1 SV=4	55 kDa	0.51	P11679		0	0	0	0	0	0	0	0	0	19.862	4.9655	5.6853	0	0	0	1.4213	0	0	0	0																	
PDIA6_MOUSE	Protein disulfide-isomerase A6 OS=Mus musculus GN=Pdia6 PE=1 SV=3	48 kDa	0.51	Q922R8		4.7857	6.0587	4.3856	0	3.3644	3.7189	5.897	6.0587	4.3856	0	4.0853	5.6853	4.6613	4.0406	3.6735	4.5152	1.6298	2.3959	2.6749	2.2335																	
ENTP1_MOUSE	Ectonucleoside triphosphate diphosphohydrolase 1 OS=Mus musculus GN=Entpd1 PE=2 SV=1	57 kDa	0.52	P55772		0.9571	0.8655	1.0964	1.1647	0	0.8168	0	0.8655	1.0964	0	0.4905	1.8951	0.9323	0	1.2245	1.013	0.8149	1.5973	0.8917	1.1013																	
ESYT2_MOUSE	Extended synaptotagmin-2 OS=Mus musculus GN=Esyt2 PE=1 SV=1	94 kDa	0.52	Q3TZZ7		1.9143	1.731	3.2892	2.3294	1.1215	2.0771	0	1.731	3.2892	0	1.2551	0	0	0	3.6735	0.9184	0.8149	4.7919	1.7833	2.4634																	
RS18_MOUSE	40S ribosomal protein S18 OS=Mus musculus GN=Rps18 PE=1 SV=3	18 kDa	0.52	P62270		0.9571	0	0	0	4.4859	1.0886	0	0	0	3.5051	0.8763	2.8426	1.8645	1.0101	1.2245	1.7354	4.8895	0	3.5666	2.8187																	
RSSA_MOUSE	40S ribosomal protein SA OS=Mus musculus GN=Rpsa PE=1 SV=4	33 kDa	0.52	P14206		2.8714	0	0	0	1.1215	0.7986	0	0	0	0	0	0.9476	0.9323	0	0	0.47	0	0.7987	0	0.2662																	
1433B_MOUSE	14-3-3 protein beta/alpha OS=Mus musculus GN=Ywhab PE=1 SV=3	28 kDa	0.53	Q9CQV8		9.5714	6.0587	6.5785	5.8235	14.579	8.5222	4.9142	6.0587	6.5785	14.02	7.8929	0	9.3226	0	12.245	5.3919	6.5194	12.778	12.483	10.5935		EGF, FGF, Parkinson							EGF	FGF					Parkinson		
ACTBL_MOUSE	Beta-actin-like protein 2 OS=Mus musculus GN=Actbl2 PE=1 SV=1	42 kDa	0.53	Q8BFZ3		156.97	146.27	163.37	104.82	162.61	146.808	155.29	146.27	163.37	105.15	142.52	105.18	151.96	163.64	102.86	130.91	140.17	169.31	172.09	160.5233		Chemokine_Cytokine_Signaling, Cytoskeleton, Huntington, Integrin, Nicotinic_Acetylcholine				Chemokine_Cytokine_Signaling	Cytoskeleton					Huntington	Integrin	Nicotinic_Acetylcholine			
ARPC5_MOUSE	Actin-related protein 2/3 complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3	16 kDa	0.53	Q9CPW4		1.9143	3.4621	1.0964	1.1647	2.243	1.9761	0	3.4621	1.0964	2.3367	1.7238	2.8426	1.8645	4.0406	2.449	2.7992	1.6298	1.5973	2.6749	1.9673		Chemokine_Cytokine_Signaling, Cytoskeleton, Huntington, Integrin				Chemokine_Cytokine_Signaling	Cytoskeleton					Huntington	Integrin				
CKAP4_MOUSE	Cytoskeleton-associated protein 4 OS=Mus musculus GN=Ckap4 PE=2 SV=2	64 kDa	0.53	Q8BMK4		0.9571	0	0	2.3294	0	0.6573	18.674	0	0	1.1684	4.9606	3.7902	0.9323	0	1.2245	1.4867	0	1.5973	0	0.5324																	
KCRB_MOUSE	Creatine kinase B-type OS=Mus musculus GN=Ckb PE=1 SV=1	43 kDa	0.53	Q04447		3.8286	7.7897	9.8677	4.6588	10.093	7.2476	1.9657	7.7897	9.8677	3.5051	5.7821	3.7902	5.5935	7.071	1.2245	4.4198	5.7044	6.3892	3.5666	5.2201																	
ODO2_MOUSE	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlst PE=1 SV=1	49 kDa	0.53	Q9D2G2		5.7428	1.731	3.2892	0	2.243	2.6012	0	1.731	3.2892	0	1.2551	1.8951	1.8645	4.0406	0	1.9501	2.4448	0	0	0.8149																	
1433E_MOUSE	14-3-3 protein epsilon OS=Mus musculus GN=Ywhae PE=1 SV=1	29 kDa	0.54	P62259		12.443	8.6552	9.8677	9.3175	14.579	10.9725	6.8798	8.6552	9.8677	10.515	8.9794	7.5804	10.255	7.071	12.245	9.2879	7.3343	11.98	13.375	10.8964		EGF, FGF, Parkinson							EGF	FGF					Parkinson		
APOA4_MOUSE	Apolipoprotein A-IV OS=Mus musculus GN=Apoa4 PE=2 SV=3	45 kDa	0.54	P06728		0.9571	0.8655	1.0964	0	1.1215	0.8081	0	0.8655	1.0964	0	0.4905	0.9476	1.8645	1.0101	0	0.9555	0.8149	1.5973	0.8917	1.1013																	
CLH1_MOUSE	Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3	192 kDa	0.54	Q68FD5		8.6143	7.7897	6.5785	11.647	2.243	7.3745	1.9657	7.7897	6.5785	2.3367	4.6677	3.7902	10.255	7.071	7.3469	7.1158	4.8895	6.3892	8.0248	6.4345																	
COEA1_MOUSE	Collagen alpha-1(XIV) chain OS=Mus musculus GN=Col14a1 PE=2 SV=2	193 kDa	0.54	Q80X19		0	0	0	1.1647	0	0.2329	3.9313	0	0	0	0.9828	0	0	0	0	0	0	1.5973	0.8917	0.8297		Chemokine_Cytokine_Signaling, Integrin				Chemokine_Cytokine_Signaling							Integrin				
M2OM_MOUSE	Mitochondrial 2-oxoglutarate/malate carrier protein OS=Mus musculus GN=Slc25a11 PE=1 SV=3	34 kDa	0.54	Q9CR62		0.9571	0	2.1928	0	0	0.63	0	0	2.1928	0	0.5482	0	0	0	0	0	0	0	0	0																	
PSA4_MOUSE	Proteasome subunit alpha type-4 OS=Mus musculus GN=Psma4 PE=1 SV=1	29 kDa	0.54	Q9R1P0		0.9571	1.731	2.1928	0	1.1215	1.2005	0	1.731	2.1928	1.1684	1.2731	0	1.8645	0	2.449	1.0784	2.4448	3.1946	0.8917	2.177		Parkinson													Parkinson		
RS16_MOUSE	40S ribosomal protein S16 OS=Mus musculus GN=Rps16 PE=2 SV=4	16 kDa	0.54	P14131		0.9571	1.731	0	0	5.6074	1.6591	0	1.731	0	0	0.4328	1.8951	2.7968	1.0101	2.449	2.0378	1.6298	3.1946	0	1.6081																	
TCPA_MOUSE	T-complex protein 1 subunit alpha OS=Mus musculus GN=Tcp1 PE=1 SV=3	60 kDa	0.54	P11983		1.9143	1.731	4.3856	4.6588	0	2.5379	0	1.731	4.3856	0	1.5292	0.9476	0.9323	3.0304	1.2245	1.5337	1.6298	0.7987	0	0.8095																	
NDKB_MOUSE	Nucleoside diphosphate kinase B OS=Mus musculus GN=Nme2 PE=1 SV=1	17 kDa	0.55	Q01768		1.9143	6.0587	1.0964	1.1647	6.7289	3.3926	0	6.0587	1.0964	5.8418	3.2492	8.5279	6.5258	5.0507	0	5.0261	8.1492	0.7987	11.591	6.8463		De_Novo_Purine_Biosynthesis						De_Novo_Purine_Biosynthesis									
NDKA_MOUSE	Nucleoside diphosphate kinase A OS=Mus musculus GN=Nme1 PE=1 SV=1	17 kDa	0.56	P15532		1.9143	6.0587	1.0964	1.1647	6.7289	3.3926	0	6.0587	1.0964	5.8418	3.2492	8.5279	7.458	6.0608	0	5.5117	7.3343	0.7987	11.591	6.5747		De_Novo_Purine_Biosynthesis						De_Novo_Purine_Biosynthesis									
POSTN_MOUSE	Periostin OS=Mus musculus GN=Postn PE=1 SV=2	93 kDa	0.56	Q62009		25.843	21.638	28.507	24.459	19.065	23.9024	36.365	21.638	28.507	4.6734	22.7959	18.003	19.577	14.142	17.143	17.2163	22.818	21.563	22.291	22.224																	
PRDX2_MOUSE	Peroxiredoxin-2 OS=Mus musculus GN=Prdx2 PE=1 SV=3	22 kDa	0.57	Q61171		3.8286	9.5207	6.5785	4.6588	10.093	6.9359	2.9485	9.5207	6.5785	8.1785	6.8066	6.6328	7.458	10.101	13.469	9.4152	8.9641	2.3959	8.9165	6.7588																	
PSB2_MOUSE	Proteasome subunit beta type-2 OS=Mus musculus GN=Psmb2 PE=1 SV=1	23 kDa	0.57	Q9R1P3		0	0.8655	0	0	1.1215	0.3974	0	0.8655	0	0	0.2164	0	0.9323	1.0101	0	0.4856	0.8149	0	1.7833	0.8661																	
EST1C_MOUSE	Carboxylesterase 1C OS=Mus musculus GN=Ces1c PE=1 SV=4	61 kDa	0.58	P23953		0.9571	0	0	0	0	0.1914	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
GDN_MOUSE	Glia-derived nexin OS=Mus musculus GN=Serpine2 PE=2 SV=2	44 kDa	0.58	Q07235		0	0	1.0964	0	1.1215	0.4436	0	0	1.0964	0	0.2741	0	1.8645	2.0203	0	0.9712	1.6298	0	0.8917	0.8405																	
MCAT_MOUSE	Mitochondrial carnitine/acylcarnitine carrier protein OS=Mus musculus GN=Slc25a20 PE=1 SV=1	33 kDa	0.58	Q9Z2Z6		0.9571	0	0	0	0	0.1914	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
MYH14_MOUSE	Myosin-14 OS=Mus musculus GN=Myh14 PE=1 SV=1	229 kDa	0.58	Q6URW6		72.743	0	0	0	0	14.5486	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Chemokine_Cytokine_Signaling, Cytoskeleton, Nicotinic_Acetylcholine				Chemokine_Cytokine_Signaling	Cytoskeleton							Nicotinic_Acetylcholine			
PHB_MOUSE	Prohibitin OS=Mus musculus GN=Phb PE=1 SV=1	30 kDa	0.58	P67778		0	0	0	0	1.1215	0.2243	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
ACTN1_MOUSE	Alpha-actinin-1 OS=Mus musculus GN=Actn1 PE=1 SV=1	103 kDa	0.59	Q7TPR4		51.686	57.99	53.724	52.411	32.523	49.6668	34.399	57.99	53.724	1.1684	36.8204	36.007	24.239	36.365	56.327	38.2345	45.636	64.69	35.666	48.664		Integrin											Integrin				
ECI1_MOUSE	Enoyl-CoA delta isomerase 1, mitochondrial OS=Mus musculus GN=Eci1 PE=1 SV=2	32 kDa	0.59	P42125		3.8286	3.4621	6.5785	0	6.7289	4.1196	0.9828	3.4621	6.5785	4.6734	3.9242	0	2.7968	0	4.898	1.9237	4.8895	4.7919	0.8917	3.5244																	
ITA8_MOUSE	Integrin alpha-8 OS=Mus musculus GN=Itga8 PE=1 SV=1	118 kDa	0.59	A2ARA8		4.7857	8.6552	4.3856	8.1528	4.4859	6.093	2.9485	8.6552	4.3856	4.6734	5.1657	6.6328	2.7968	4.0406	3.6735	4.2859	4.8895	4.7919	5.3499	5.0104		Integrin											Integrin				
PP1B_MOUSE	Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Mus musculus GN=Ppp1cb PE=1 SV=3	37 kDa	0.59	P62141		1.9143	3.4621	0	0	2.243	1.5239	0.9828	3.4621	0	2.3367	1.6954	0.9476	0.9323	1.0101	0	0.7225	0.8149	0.7987	0.8917	0.8351																	
AL7A1_MOUSE	Alpha-aminoadipic semialdehyde dehydrogenase OS=Mus musculus GN=Aldh7a1 PE=1 SV=4	59 kDa	0.6	Q9DBF1		0.9571	2.5966	1.0964	0	0	0.93	0	2.5966	1.0964	0	0.9233	0.9476	0	2.0203	0	0.742	0	0	0	0																	
DTNA_MOUSE	Dystrobrevin alpha OS=Mus musculus GN=Dtna PE=1 SV=2	84 kDa	0.6	Q9D2N4		0	0	0	0	0	0	2.9485	0	0	0	0.7371	0	0.9323	0	0	0.2331	0.8149	0	0	0.2716																	
MFAP4_MOUSE	Microfibril-associated glycoprotein 4 OS=Mus musculus GN=Mfap4 PE=1 SV=1	29 kDa	0.6	Q9D1H9		0	0.8655	0	0	0	0.1731	0	0.8655	0	0	0.2164	1.8951	0	1.0101	0	0.7263	0	1.5973	0	0.5324																	
1433F_MOUSE	14-3-3 protein eta OS=Mus musculus GN=Ywhah PE=1 SV=2	28 kDa	0.61	P68510		6.7	6.9242	6.5785	5.8235	12.336	7.6724	0	6.9242	6.5785	11.684	6.2967	0	8.3903	0	12.245	5.1588	5.7044	10.382	12.483	9.5231		EGF, FGF, Parkinson							EGF	FGF					Parkinson		
HS71L_MOUSE	Heat shock 70 kDa protein 1-like OS=Mus musculus GN=Hspa1l PE=2 SV=4	71 kDa	0.61	P16627		16.271	12.117	14.253	12.812	13.458	13.7822	9.8283	12.117	14.253	21.03	14.3071	13.266	15.848	10.101	19.592	14.7018	12.224	13.577	8.0248	11.2753		Parkinson													Parkinson		
UGPA_MOUSE	UTP--glucose-1-phosphate uridylyltransferase OS=Mus musculus GN=Ugp2 PE=2 SV=3	57 kDa	0.61	Q91ZJ5		0	2.5966	1.0964	0	0	0.7386	0	2.5966	1.0964	1.1684	1.2154	1.8951	0.9323	0	1.2245	1.013	0	0.7987	0	0.2662																	
IMB1_MOUSE	Importin subunit beta-1 OS=Mus musculus GN=Kpnb1 PE=1 SV=2	97 kDa	0.62	P70168		0.9571	0.8655	2.1928	1.1647	0	1.036	1.9657	0.8655	2.1928	0	1.256	0	0	1.0101	1.2245	0.5587	0.8149	0.7987	0.8917	0.8351																	
1433Z_MOUSE	14-3-3 protein zeta/delta OS=Mus musculus GN=Ywhaz PE=1 SV=1	28 kDa	0.63	P63101		15.314	15.579	17.543	12.812	22.43	16.7356	12.777	15.579	17.543	24.535	17.6085	12.318	14.916	11.112	24.49	15.709	16.298	23.161	21.4	20.2863		EGF, FGF, Parkinson							EGF	FGF					Parkinson		
KAD3_MOUSE	GTP:AMP phosphotransferase AK3, mitochondrial OS=Mus musculus GN=Ak3 PE=1 SV=3	25 kDa	0.64	Q9WTP7		0.9571	0.8655	1.0964	0	2.243	1.0324	0	0.8655	1.0964	0	0.4905	0.9476	0	0	1.2245	0.543	2.4448	0.7987	0	1.0812		De_Novo_Purine_Biosynthesis						De_Novo_Purine_Biosynthesis									
FABPH_MOUSE	Fatty acid-binding protein, heart OS=Mus musculus GN=Fabp3 PE=1 SV=5	15 kDa	0.65	P11404		0	0.8655	0	0	0	0.1731	0	0.8655	0	0	0.2164	0.9476	0	0	0	0.2369	0.8149	0	0.8917	0.5689																	
TMEDA_MOUSE	Transmembrane emp24 domain-containing protein 10 OS=Mus musculus GN=Tmed10 PE=2 SV=1	25 kDa	0.65	Q9D1D4		1.9143	2.5966	0	1.1647	4.4859	2.0323	0	2.5966	0	1.1684	0.9413	3.7902	1.8645	3.0304	0	2.1713	3.2597	0	3.5666	2.2754																	
