Accession_Number	Identified Proteins (551)	Molecular Weight Aorta	Aorta ANOVA Test (P-Value	Classification		18129_DB_AORTA_1	18129_DB_AORTA_2	18129_DB_AORTA_3	18129_DB_AORTA_4	18129_DB_AORTA	DB_AORTA_MEAN	18129_HET_AORTA_1	18129_HET_AORTA_2	18129_HET_AORTA_3	18129_HET_AORTA_4	HET_AORTA_MEAN	18129_KOHET_AORTA_1	18129_KOHET_AORTA_2	18129_KOHET_AORTA_3	18129_KOHET_AORTA_4	KOHET_AORTA_MEAN	18129_KOKO_AORTA_1	18129_KOKO_AORTA_2	18129_KOKO_AORTA_3	KOKO_AORTA_MEAN	Molecular Weight Coro	Coro ANOVA Test (P-Value		18129_DB_CORO_1	18129_DB_CORO_2	18129_DB_CORO_3	18129_DB_CORO_4	18129_DB_CORO	DB_CORO_MEAN	18129_HET_CORO_1	18129_HET_CORO_2	18129_HET_CORO_3	18129_HET_CORO_4	HET_CORO_MEAN	18129_KOHET_CORO_1	18129_KOHET_CORO_2	18129_KOHET_CORO_3	18129_KOHET_CORO_4	KOHET_CORO_MEAN	18129_KOKO_CORO_1	18129_KOKO_CORO_2	18129_KOKO_CORO_3	KOKO_CORO_MEAN	Entry	All_Pathways	Pathway	ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle	Gene_names
MYLK_MOUSE	Myosin light chain kinase, smooth muscle OS=Mus musculus GN=Mylk PE=1 SV=3	213 kDa	0.15			16.271	18.176	17.543	18.635	8.9719	15.9194	16.708	18.176	17.543	19.862	18.0723	23.689	22.374	14.142	19.592	19.9493	20.373	20.765	23.183	21.4403	213 kDa	0.26		4.3912	4.3004	4.489	6.5674	3.2286	4.5953	2.3388	6.246	6.0456	5.5158	5.0366	10.148	2.8048	7.4168	8.6599	7.2574	5.576	5.9968	6.4227	5.9985	Q6PDN3																	
MYO1C_MOUSE	Unconventional myosin-Ic OS=Mus musculus GN=Myo1c PE=1 SV=2	122 kDa	0.27			6.7	7.7897	6.5785	6.9882	1.1215	5.8356	5.897	7.7897	6.5785	3.5051	5.9426	6.6328	4.6613	6.0608	1.2245	4.6449	13.039	9.5838	4.4582	9.027	122 kDa	0.24		0.8782	0.8601	0	1.0946	0	0.5666	1.1694	1.2492	3.6273	1.1032	1.7873	0	0	1.0595	1.0825	0.5355	2.3897	0	0	0.7966	Q9WTI7																	
MYPC3_MOUSE	Myosin-binding protein C, cardiac-type OS=Mus musculus GN=Mybpc3 PE=1 SV=1	141 kDa	0.68			0	0	1.0964	0	0	0.2193	0	0	1.0964	0	0.2741	0	0	0	0	0	0	0	0	0	141 kDa	0.31		3.513	7.7407	6.2846	7.662	4.3049	5.901	4.6776	2.4984	7.2547	4.4126	4.7108	5.6378	7.4795	11.655	2.165	6.7343	5.576	2.9984	0	2.8581	O70468																	
MYPT2_MOUSE	Protein phosphatase 1 regulatory subunit 12B OS=Mus musculus GN=Ppp1r12b PE=1 SV=2	109 kDa	0.087			1.9143	1.731	0	1.1647	0	0.962	0	1.731	0	0	0.4328	0.9476	0.9323	3.0304	2.449	1.8398	4.0746	1.5973	1.7833	2.4851	109 kDa	0.53		0	0	0	0	1.0762	0.2152	0	0	0	0	0	0	0	0	0	0	0	0	1.0705	0.3568	Q8BG95																	
NB5R3_MOUSE	NADH-cytochrome b5 reductase 3 OS=Mus musculus GN=Cyb5r3 PE=1 SV=3	34 kDa	0.12			17.229	11.252	21.928	13.976	14.579	15.7928	2.9485	11.252	21.928	3.5051	9.9084	5.6853	9.3226	8.0811	1.2245	6.0784	14.669	13.577	8.0248	12.0903	34 kDa	< 0.00010		1.7565	2.5802	0.8978	2.1891	1.0762	1.7	0	0	0	1.1032	0.2758	0	0	0	1.0825	0.2706	5.576	5.9968	3.2114	4.9281	Q9DCN2																	
NDKA_MOUSE	Nucleoside diphosphate kinase A OS=Mus musculus GN=Nme1 PE=1 SV=1	17 kDa	0.56			1.9143	6.0587	1.0964	1.1647	6.7289	3.3926	0	6.0587	1.0964	5.8418	3.2492	8.5279	7.458	6.0608	0	5.5117	7.3343	0.7987	11.591	6.5747	17 kDa	0.021		1.7565	4.3004	4.489	2.1891	4.3049	3.408	2.3388	0	0	0	0.5847	5.6378	3.7398	1.0595	7.5774	4.5036	4.7794	4.9973	4.2818	4.6862	P15532	De_Novo_Purine_Biosynthesis	De_Novo_Purine_Biosynthesis					De_Novo_Purine_Biosynthesis										Nme1 Nm23
NDKB_MOUSE	Nucleoside diphosphate kinase B OS=Mus musculus GN=Nme2 PE=1 SV=1	17 kDa	0.55			1.9143	6.0587	1.0964	1.1647	6.7289	3.3926	0	6.0587	1.0964	5.8418	3.2492	8.5279	6.5258	5.0507	0	5.0261	8.1492	0.7987	11.591	6.8463	17 kDa	0.021		1.7565	4.3004	4.489	2.1891	4.3049	3.408	2.3388	0	0	0	0.5847	5.6378	3.7398	1.0595	7.5774	4.5036	4.7794	4.9973	4.2818	4.6862	Q01768	De_Novo_Purine_Biosynthesis	De_Novo_Purine_Biosynthesis					De_Novo_Purine_Biosynthesis										Nme2
NDUA6_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Mus musculus GN=Ndufa6 PE=1 SV=1	15 kDa	0.17			0	0	0	0	0	0	0	0	0	0	0	0.9476	0	0	1.2245	0.543	0	0	0.8917	0.2972	15 kDa	0.46		2.6347	2.5802	4.489	1.0946	2.1524	2.5902	4.6776	1.2492	3.6273	0	2.3885	4.5102	2.8048	7.4168	2.165	4.2242	3.9828	4.9973	2.1409	3.707	Q9CQZ5																	
NDUA8_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Mus musculus GN=Ndufa8 PE=1 SV=3	20 kDa	0.43			0	0	0	0	0	0	0	0	0	0	0	0	0.9323	0	0	0.2331	0	0	0	0	20 kDa	0.39		2.6347	2.5802	2.6934	2.1891	3.2286	2.6652	3.5082	0	2.4182	0	1.4816	1.1276	4.6747	1.0595	3.2475	2.5273	4.7794	2.9984	2.1409	3.3062	Q9DCJ5																	
NDUAA_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Mus musculus GN=Ndufa10 PE=1 SV=1	41 kDa	0.68			0	0.8655	0	0	0	0.1731	0	0.8655	0	0	0.2164	0	0	0	0	0	0	0	0	0	41 kDa	0.34		0.8782	0.8601	0.8978	1.0946	1.0762	0.9614	1.1694	1.2492	3.6273	0	1.5115	0	0.9349	2.1191	1.0825	1.0341	3.9828	1.9989	1.0705	2.3507	Q99LC3																	
NDUAD_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Mus musculus GN=Ndufa13 PE=1 SV=3	17 kDa	0.3			0	0	0	0	1.1215	0.2243	0	0	0	1.1684	0.2921	0.9476	2.7968	0	1.2245	1.2422	1.6298	0	0	0.5433	17 kDa	0.8		2.6347	4.3004	6.2846	2.1891	5.3811	4.158	7.0164	4.9968	4.8365	0	4.2124	3.3827	4.6747	5.2977	4.3299	4.4213	3.9828	4.9973	7.4932	5.4911	Q9ERS2																	
NDUS1_MOUSE	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Mus musculus GN=Ndufs1 PE=1 SV=2	80 kDa	0.09			0	0	1.0964	0	0	0.2193	0	0	1.0964	0	0.2741	0.9476	3.729	1.0101	1.2245	1.7278	1.6298	0	0	0.5433	80 kDa	0.03		5.2694	6.8806	8.978	10.946	8.6097	8.1367	16.372	6.246	22.973	15.444	15.2588	10.148	13.089	13.774	6.4949	10.8765	7.1691	4.9973	1.0705	4.4123	Q91VD9																	
NDUS3_MOUSE	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Mus musculus GN=Ndufs3 PE=1 SV=2	30 kDa	0.46			0	0.8655	0	0	0	0.1731	0	0.8655	0	0	0.2164	0	2.7968	0	0	0.6992	1.6298	1.5973	0	1.0757	30 kDa	0.032		7.9042	9.4609	9.8759	12.04	10.762	10.0086	2.3388	4.9968	6.0456	11.032	6.1033	13.531	11.219	9.5359	10.825	11.2777	8.7622	8.9951	7.4932	8.4168	Q9DCT2																	
NDUV2_MOUSE	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Mus musculus GN=Ndufv2 PE=1 SV=2	27 kDa	0.31			0	0	0	0	0	0	0	0	0	0	0	1.8951	0	0	0	0.4738	0	0.7987	0.8917	0.5634	27 kDa	0.15		1.7565	1.7202	0.8978	1.0946	1.0762	1.3091	2.3388	2.4984	0	2.2063	1.7609	5.6378	1.8699	3.1786	2.165	3.2128	1.5931	1.9989	4.2818	2.6246	Q9D6J6	Parkinson	Parkinson												Parkinson			Ndufv2
NLTP_MOUSE	Non-specific lipid-transfer protein OS=Mus musculus GN=Scp2 PE=1 SV=3	59 kDa	0.4			0	0.8655	0	0	1.1215	0.3974	0	0.8655	0	0	0.2164	0	0	0	0	0	0	0	0	0	59 kDa	0.32		0	0	3.5912	1.0946	1.0762	1.1524	1.1694	0	0	0	0.2924	0	0	0	0	0	0.7966	0	1.0705	0.6224	P32020																	
NNTM_MOUSE	NAD(P) transhydrogenase, mitochondrial OS=Mus musculus GN=Nnt PE=1 SV=2	114 kDa	0.87			0	0	1.0964	0	0	0.2193	0	0	1.0964	0	0.2741	0.9476	0	0	0	0.2369	0	0	0	0	114 kDa	0.67		2.6347	2.5802	3.5912	2.1891	3.2286	2.8448	3.5082	1.2492	3.6273	0	2.0962	3.3827	8.4144	1.0595	1.0825	3.4848	2.3897	1.9989	1.0705	1.8197	Q61941																	
OAT_MOUSE	Ornithine aminotransferase, mitochondrial OS=Mus musculus GN=Oat PE=1 SV=1	48 kDa	0.42			1.9143	1.731	2.1928	1.1647	2.243	1.8492	0	1.731	2.1928	0	0.981	1.8951	2.7968	1.0101	0	1.4255	0.8149	2.3959	3.5666	2.2591	48 kDa	0.24		0.8782	0.8601	0.8978	0	1.0762	0.7425	1.1694	0	0	0	0.2924	0	0	0	2.165	0.5413	2.3897	0.9995	1.0705	1.4866	P29758																	
ODO1_MOUSE	2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=Ogdh PE=1 SV=3	116 kDa	0.18			4.7857	0	1.0964	0	2.243	1.625	0.9828	0	1.0964	0	0.5198	0.9476	0	0	0	0.2369	3.2597	1.5973	1.7833	2.2134	116 kDa	0.3		4.3912	8.6008	7.1824	7.662	7.5335	7.074	4.6776	0	12.091	7.7221	6.1227	3.3827	2.8048	4.2382	2.165	3.1477	8.7622	1.9989	1.0705	3.9439	Q60597	TCA_Cycle	TCA_Cycle														TCA_Cycle	Ogdh Kiaa4192
ODO2_MOUSE	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlst PE=1 SV=1	49 kDa	0.53			5.7428	1.731	3.2892	0	2.243	2.6012	0	1.731	3.2892	0	1.2551	1.8951	1.8645	4.0406	0	1.9501	2.4448	0	0	0.8149	49 kDa	0.0002		6.1477	6.8806	6.2846	4.3783	4.3049	5.5992	3.5082	2.4984	2.4182	3.3095	2.9336	6.7654	11.219	12.715	10.825	10.3811	7.9657	4.9973	6.4227	6.4619	Q9D2G2																	
ODP2_MOUSE	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlat PE=1 SV=2	68 kDa	0.34			0.9571	0.8655	0	1.1647	0	0.5975	0	0.8655	0	0	0.2164	0.9476	2.7968	0	1.2245	1.2422	1.6298	0.7987	0	0.8095	68 kDa	0.22		7.0259	4.3004	0.8978	1.0946	4.3049	3.5247	3.5082	2.4984	2.4182	1.1032	2.382	3.3827	4.6747	7.4168	5.4124	5.2217	4.7794	3.9978	3.2114	3.9962	Q8BMF4																	
ODPB_MOUSE	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Mus musculus GN=Pdhb PE=1 SV=1	39 kDa	0.43			0	0	2.1928	0	7.8504	2.0086	0	0	2.1928	1.1684	0.8403	0	0.9323	0	0	0.2331	4.8895	3.9932	0	2.9609	39 kDa	0.0074		9.6607	12.041	8.978	5.4728	6.4573	8.522	7.0164	3.7476	3.6273	2.2063	4.1494	5.6378	5.6096	5.2977	5.4124	5.4894	12.745	10.994	7.4932	10.4107	Q9D051																	
OST48_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Mus musculus GN=Ddost PE=1 SV=2	49 kDa	0.42			0.9571	0.8655	2.1928	0	0	0.8031	12.777	0.8655	2.1928	0	3.9588	3.7902	2.7968	0	0	1.6468	0	0.7987	0	0.2662	49 kDa	0.43		0	0	0	0	0	0	0	0	0	0	0	2.2551	0	0	0	0.5638	0	0	0	0	O54734																	
PARK7_MOUSE	Protein DJ-1 OS=Mus musculus GN=Park7 PE=1 SV=1	20 kDa	0.25			0.9571	0.8655	0	0	0	0.3645	0	0.8655	0	1.1684	0.5085	0	0.9323	1.0101	1.2245	0.7917	1.6298	3.1946	0	1.6081	20 kDa	0.56		0.8782	0	0	1.0946	0	0.3946	0	0	0	0	0	0	0.9349	0	1.0825	0.5044	1.5931	0	0	0.531	Q99LX0																	
PDIA1_MOUSE	Protein disulfide-isomerase OS=Mus musculus GN=P4hb PE=1 SV=2	57 kDa	0.019			12.443	9.5207	15.35	12.812	3.3644	10.698	10.811	9.5207	15.35	10.515	11.5492	9.4755	12.119	10.101	6.1225	9.4545	0.8149	3.9932	3.5666	2.7916	57 kDa	0.44		2.6347	3.4403	5.3868	1.0946	0	2.5113	0	0	0	3.3095	0.8274	2.2551	0	5.2977	3.2475	2.7001	0.7966	0.9995	2.1409	1.3123	P09103																	
PDIA3_MOUSE	Protein disulfide-isomerase A3 OS=Mus musculus GN=Pdia3 PE=1 SV=2	57 kDa	0.0088			19.143	16.445	14.253	23.294	12.336	17.0942	24.571	16.445	14.253	29.209	21.1195	18.003	15.848	19.193	14.694	16.9345	4.8895	6.3892	8.9165	6.7317	57 kDa	0.65		2.6347	3.4403	2.6934	0	0	1.7537	1.1694	1.2492	1.2091	5.5158	2.2859	0	0.9349	5.2977	6.4949	3.1819	2.3897	0.9995	0	1.1297	P27773																	
PDIA4_MOUSE	Protein disulfide-isomerase A4 OS=Mus musculus GN=Pdia4 PE=1 SV=3	72 kDa	0.015			2.8714	1.731	1.0964	1.1647	2.243	1.8213	0.9828	1.731	1.0964	0	0.9526	3.7902	2.7968	3.0304	1.2245	2.7105	0.8149	0.7987	0	0.5379	72 kDa	0.43		0	0	0	0	0	0	0	0	0	1.1032	0.2758	0	0	0	0	0	0	0	0	0	P08003																	
PDIA6_MOUSE	Protein disulfide-isomerase A6 OS=Mus musculus GN=Pdia6 PE=1 SV=3	48 kDa	0.51			4.7857	6.0587	4.3856	0	3.3644	3.7189	5.897	6.0587	4.3856	0	4.0853	5.6853	4.6613	4.0406	3.6735	4.5152	1.6298	2.3959	2.6749	2.2335	48 kDa	0.52		2.6347	0.8601	0	0	0	0.699	0	0	0	0	0	1.1276	0	0	2.165	0.8232	0.7966	0	0	0.2655	Q922R8																	
PDLI1_MOUSE	PDZ and LIM domain protein 1 OS=Mus musculus GN=Pdlim1 PE=2 SV=4	36 kDa	0.023			1.9143	2.5966	2.1928	1.1647	6.7289	2.9195	0	2.5966	2.1928	3.5051	2.0736	1.8951	3.729	3.0304	0	2.1636	8.9641	10.382	3.5666	7.6376	36 kDa	0.001		2.6347	0.8601	0.8978	0	1.0762	1.0938	0	0	0	0	0	1.1276	0	0	0	0.2819	4.7794	2.9984	2.1409	3.3062	O70400																	
PDLI3_MOUSE	PDZ and LIM domain protein 3 OS=Mus musculus GN=Pdlim3 PE=1 SV=1	34 kDa	0.21			8.6143	7.7897	3.2892	4.6588	6.7289	6.2162	0.9828	7.7897	3.2892	3.5051	3.8917	6.6328	4.6613	5.0507	2.449	4.6985	5.7044	7.9865	8.0248	7.2386	34 kDa	0.0043		7.0259	4.3004	5.3868	7.662	6.4573	6.1665	1.1694	2.4984	1.2091	0	1.2192	5.6378	3.7398	3.1786	10.825	5.8453	8.7622	14.992	7.4932	10.4158	O70209																	
PDLI7_MOUSE	PDZ and LIM domain protein 7 OS=Mus musculus GN=Pdlim7 PE=2 SV=1	50 kDa	0.31			4.7857	6.0587	3.2892	4.6588	6.7289	5.1043	0	6.0587	3.2892	2.3367	2.9212	4.7377	5.5935	4.0406	1.2245	3.8991	4.8895	3.9932	6.2415	5.0414	50 kDa	0.34		4.3912	1.7202	1.7956	1.0946	1.0762	2.0156	0	1.2492	1.2091	1.1032	0.8904	3.3827	0	2.1191	5.4124	2.7286	1.5931	1.9989	0	1.1973	Q3TJD7																	
PEBP1_MOUSE	Phosphatidylethanolamine-binding protein 1 OS=Mus musculus GN=Pebp1 PE=1 SV=3	21 kDa	0.01			2.8714	3.4621	1.0964	3.4941	4.4859	3.082	1.9657	3.4621	1.0964	3.5051	2.5073	5.6853	7.458	7.071	8.5714	7.1964	8.1492	1.5973	7.1332	5.6266	21 kDa	0.38		0	0.8601	0.8978	1.0946	4.3049	1.4315	3.5082	0	0	0	0.8771	0	1.8699	2.1191	1.0825	1.2679	3.1863	2.9984	2.1409	2.7752	P70296	EGF, FGF	EGF						EGF	FGF								Pebp1 Pbp Pebp
PGAM1_MOUSE	Cluster of Phosphoglycerate mutase 1 OS=Mus musculus GN=Pgam1 PE=1 SV=3 (PGAM1_MOUSE)	29 kDa	0.5			0.9571	0.8655	1.0964	0	1.1215	0.8081	0	0.8655	1.0964	0	0.4905	0	0.9323	1.0101	1.2245	0.7917	0.8149	1.5973	0.8917	1.1013	29 kDa	0.47		0.8782	0	0.8978	0	0	0.3552	0	0	0	1.1032	0.2758	2.2551	0.9349	0	0	0.7975	0	0	0	0	Q9DBJ1	Glycolysis	Glycolysis								Glycolysis							Pgam1
PGAM2_MOUSE	Phosphoglycerate mutase 2 OS=Mus musculus GN=Pgam2 PE=1 SV=3	29 kDa	0.99			0.9571	0.8655	1.0964	0	0	0.5838	0	0.8655	1.0964	0	0.4905	0	0.9323	1.0101	0	0.4856	0.8149	0.7987	0	0.5379	29 kDa	0.47		0.8782	0	0.8978	0	0	0.3552	0	0	0	1.1032	0.2758	2.2551	0.9349	0	0	0.7975	0	0	0	0	O70250	Glycolysis	Glycolysis								Glycolysis							Pgam2
PGBM_MOUSE	Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=1 SV=1	398 kDa	0.14	ECM		29.671	28.562	36.182	20.964	12.336	25.543	25.554	28.562	36.182	31.546	30.461	20.846	21.442	21.213	15.918	19.8548	25.263	27.154	37.449	29.9553	398 kDa	0.033		7.9042	6.0206	2.6934	3.2837	4.3049	4.8414	1.1694	1.2492	7.2547	1.1032	2.6941	7.8929	4.6747	3.1786	7.5774	5.8309	9.5588	7.9957	8.5636	8.706	Q05793																	
PGK1_MOUSE	Phosphoglycerate kinase 1 OS=Mus musculus GN=Pgk1 PE=1 SV=4	45 kDa	0.013			1.9143	0.8655	1.0964	0	2.243	1.2238	3.9313	0.8655	1.0964	2.3367	2.0575	0.9476	1.8645	1.0101	0	0.9555	4.0746	5.5905	2.6749	4.1133	45 kDa	0.12		1.7565	0.8601	0.8978	0	1.0762	0.9181	2.3388	1.2492	1.2091	1.1032	1.4751	0	1.8699	1.0595	0	0.7324	2.3897	0.9995	3.2114	2.2002	P09411	Glycolysis	Glycolysis								Glycolysis							Pgk1 Pgk-1
PGM1_MOUSE	Phosphoglucomutase-1 OS=Mus musculus GN=Pgm1 PE=1 SV=4	61 kDa	0.07			3.8286	1.731	3.2892	3.4941	0	2.4686	0	1.731	3.2892	2.3367	1.8392	2.8426	4.6613	4.0406	2.449	3.4984	5.7044	4.7919	3.5666	4.6876	61 kDa	0.55		0	0	0	0	0	0	2.3388	0	0	0	0.5847	1.1276	0	0	0	0.2819	0	0	0	0	Q9D0F9																	
PGM5_MOUSE	Phosphoglucomutase-like protein 5 OS=Mus musculus GN=Pgm5 PE=1 SV=2	62 kDa	0.021			20.1	24.235	18.639	26.788	8.9719	19.7468	15.725	24.235	18.639	31.546	22.5363	36.007	31.697	30.304	31.837	32.4613	35.856	28.751	26.749	30.452	62 kDa	0.065		0.8782	0.8601	0	0	0	0.3477	2.3388	2.4984	1.2091	0	1.5116	6.7654	0	3.1786	7.5774	4.3804	1.5931	0.9995	4.2818	2.2915	Q8BZF8																	
PHB2_MOUSE	Prohibitin-2 OS=Mus musculus GN=Phb2 PE=1 SV=1	33 kDa	0.24			0	0	2.1928	0	3.3644	1.1114	0	0	2.1928	0	0.5482	0	1.8645	1.0101	0	0.7187	4.8895	2.3959	0.8917	2.7257	33 kDa	0.0045		1.7565	2.5802	0	0	0	0.8673	0	0	0	0	0	2.2551	0	3.1786	2.165	1.8997	3.9828	2.9984	3.2114	3.3975	O35129																	
PHB_MOUSE	Prohibitin OS=Mus musculus GN=Phb PE=1 SV=1	30 kDa	0.58			0	0	0	0	1.1215	0.2243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30 kDa	0.087		0	2.5802	4.489	0	2.1524	1.8443	0	0	0	1.1032	0.2758	5.6378	4.6747	2.1191	2.165	3.6492	3.9828	1.9989	0	1.9939	P67778																	
PLST_MOUSE	Plastin-3 OS=Mus musculus GN=Pls3 PE=1 SV=3	71 kDa	0.34			10.529	7.7897	9.8677	11.647	7.8504	9.5368	5.897	7.7897	9.8677	11.684	8.8096	14.213	13.052	6.0608	13.469	11.6987	12.224	11.181	10.7	11.3683	71 kDa	0.43		0	0	0	0	0	0	0	0	0	3.3095	0.8274	0	0	0	0	0	0	0	0	0	Q99K51																	
POSTN_MOUSE	Periostin OS=Mus musculus GN=Postn PE=1 SV=2	93 kDa	0.56	ECM		25.843	21.638	28.507	24.459	19.065	23.9024	36.365	21.638	28.507	4.6734	22.7959	18.003	19.577	14.142	17.143	17.2163	22.818	21.563	22.291	22.224	93 kDa	0.16		1.7565	0.8601	0	0	0	0.5233	0	6.246	41.11	140.1	46.864	1.1276	0	0	0	0.2819	0	1.9989	0	0.6663	Q62009																	
PP1B_MOUSE	Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Mus musculus GN=Ppp1cb PE=1 SV=3	37 kDa	0.59			1.9143	3.4621	0	0	2.243	1.5239	0.9828	3.4621	0	2.3367	1.6954	0.9476	0.9323	1.0101	0	0.7225	0.8149	0.7987	0.8917	0.8351	37 kDa	0.2		0.8782	0	0	1.0946	0	0.3946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P62141																	
PPIA_MOUSE	Peptidyl-prolyl cis-trans isomerase A OS=Mus musculus GN=Ppia PE=1 SV=2	18 kDa	0.37			19.143	29.428	15.35	23.294	41.495	25.742	17.691	29.428	15.35	39.724	25.5483	36.954	35.426	31.314	40.408	36.0255	41.561	17.57	40.124	33.085	18 kDa	0.0045		12.295	12.041	10.774	10.946	11.838	11.5788	12.863	9.9936	3.6273	5.5158	7.9999	15.786	14.024	11.655	25.98	16.8613	20.711	19.989	20.339	20.3463	P17742																	
PPIB_MOUSE	Peptidyl-prolyl cis-trans isomerase B OS=Mus musculus GN=Ppib PE=2 SV=2	24 kDa	0.68			1.9143	4.3276	2.1928	2.3294	3.3644	2.8257	0	4.3276	2.1928	23.367	7.4719	5.6853	7.458	5.0507	3.6735	5.4669	5.7044	0.7987	7.1332	4.5454	24 kDa	0.53		0	0	0	0	1.0762	0.2152	0	0	0	0	0	0	0	5.2977	0	1.3244	0.7966	1.9989	0	0.9318	P24369																	
PRDBP_MOUSE	Protein kinase C delta-binding protein OS=Mus musculus GN=Prkcdbp PE=1 SV=1	28 kDa	0.069			2.8714	0.8655	2.1928	5.8235	7.8504	3.9207	0	0.8655	2.1928	3.5051	1.6409	5.6853	0.9323	2.0203	0	2.1595	7.3343	6.3892	5.3499	6.3578	28 kDa	0.082		1.7565	1.7202	2.6934	0	1.0762	1.4493	1.1694	0	0	0	0.2924	1.1276	0	3.1786	0	1.0766	1.5931	2.9984	3.2114	2.601	Q91VJ2																	
PRDX3_MOUSE	Thioredoxin-dependent peroxide reductase, mitochondrial OS=Mus musculus GN=Prdx3 PE=1 SV=1	28 kDa	0.034			0.9571	0.8655	2.1928	0	1.1215	1.0274	0	0.8655	2.1928	3.5051	1.6409	1.8951	2.7968	3.0304	3.6735	2.849	3.2597	3.1946	2.6749	3.0431	28 kDa	0.0015		5.2694	6.8806	6.2846	6.5674	5.3811	6.0766	3.5082	2.4984	0	2.2063	2.0532	10.148	9.3494	7.4168	4.3299	7.811	3.9828	4.9973	3.2114	4.0638	P20108																	
PRDX5_MOUSE	Peroxiredoxin-5, mitochondrial OS=Mus musculus GN=Prdx5 PE=1 SV=2	22 kDa	0.28			4.7857	7.7897	2.1928	2.3294	10.093	5.4381	1.9657	7.7897	2.1928	3.5051	3.8633	9.4755	9.3226	7.071	6.1225	7.9979	4.8895	3.9932	9.8081	6.2303	22 kDa	0.75		8.7824	7.7407	7.1824	4.3783	7.5335	7.1235	11.694	7.4952	9.6729	0	7.2155	7.8929	9.3494	6.3573	8.6599	8.0649	5.576	11.994	10.705	9.425	P99029																	
PSA4_MOUSE	Proteasome subunit alpha type-4 OS=Mus musculus GN=Psma4 PE=1 SV=1	29 kDa	0.54			0.9571	1.731	2.1928	0	1.1215	1.2005	0	1.731	2.1928	1.1684	1.2731	0	1.8645	0	2.449	1.0784	2.4448	3.1946	0.8917	2.177	29 kDa	0.17		0	0	0	0	0	0	0	0	0	0	0	0	0.9349	1.0595	0	0.4986	0.7966	0	0	0.2655	Q9R1P0	Parkinson	Parkinson												Parkinson			Psma4
PSB2_MOUSE	Proteasome subunit beta type-2 OS=Mus musculus GN=Psmb2 PE=1 SV=1	23 kDa	0.57			0	0.8655	0	0	1.1215	0.3974	0	0.8655	0	0	0.2164	0	0.9323	1.0101	0	0.4856	0.8149	0	1.7833	0.8661	23 kDa	0.43		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0825	0.2706	0	0	0	0	Q9R1P3																	
PSB3_MOUSE	Proteasome subunit beta type-3 OS=Mus musculus GN=Psmb3 PE=1 SV=1	23 kDa	0.022			0.9571	0	0	0	0	0.1914	0	0	0	0	0	0.9476	0.9323	0	0	0.47	1.6298	0.7987	0.8917	1.1067	23 kDa	0.69		0	0	0	0	1.0762	0.2152	0	0	0	0	0	0	0.9349	0	0	0.2337	0	0	0	0	Q9R1P1																	
PSB6_MOUSE	Proteasome subunit beta type-6 OS=Mus musculus GN=Psmb6 PE=1 SV=3	25 kDa	0.66			1.9143	2.5966	1.0964	1.1647	1.1215	1.5787	0	2.5966	1.0964	0	0.9233	0	0.9323	1.0101	1.2245	0.7917	3.2597	0.7987	0	1.3528	25 kDa	0.074		0	0.8601	0.8978	0	0	0.3516	0	0	0	0	0	0	0	0	0	0	0	0.9995	2.1409	1.0468	Q60692																	
PTBP1_MOUSE	Polypyrimidine tract-binding protein 1 OS=Mus musculus GN=Ptbp1 PE=1 SV=2	56 kDa	0.43			0.9571	1.731	3.2892	2.3294	0	1.6613	0	1.731	3.2892	3.5051	2.1313	0	0.9323	1.0101	2.449	1.0978	0	0	1.7833	0.5944	56 kDa	0.66		0.8782	0	0	0	0	0.1756	0	0	0	0	0	0	0	0	1.0825	0.2706	0	0	0	0	P17225																	
